,name,verdict,i_reason,description,website,product_offering,target_audience,problem_statement,founding_team,clients
10,Vibe,Yes,"Community-powered TV shows where fans have a say in auditions and outcomes of the programmes. However, this should be classified more under entertainment instead of gaming.","Welcome to VibeTV, a gamification platform tailored for unscripted entertainment. Here, fans hold the reins, shaping outcomes and building connections with favorite TV personalities, reality shows, and gaming content. At VibeTV, our approach to entertainment is distinct – we firmly believe that fans should be an integral part of the journey.

With us, it's about more than just watching. We're here to empower you, the fans, to participate actively. Experience Fan-Driven Auditions, where your involvement drives the journey, influences Show Outcomes, and become a collaborator in the contestant's journey to success.

Join us on VibeTV and be a vital contributor to the entertainment landscape. Let's shape the journey together!",vibetv.app,"Vibe offers a gamification platform tailored for unscripted entertainment, allowing fans to shape outcomes and connect with their favorite TV shows, gaming content, and personalities.","The target audience for Vibe is primarily Gen Z, digital natives who are looking for interactive and engaging entertainment experiences.",Vibe aims to revolutionize fan engagement and create new monetization models in the entertainment industry by empowering fans to actively participate in the content they love.,Not enough info,Not enough info
11,Yuma (YC W23),Yes,This is a Gen-AI wrapper which helps e-commerce brands with customer service,Yuma is using ChatGPT to automate customer support. We integrate directly with help desk software and focus on helping large Shopify merchants deal with their high volume of support requests.,yuma.ai,Yuma is an AI SaaS tool that connects to your helpdesk software to leverage AI and automate customer service.,Yuma's target audience is Shopify merchants looking to automate their customer service and boost agent productivity.,Yuma's main problem statement is to empower merchants with AI capabilities to enhance customer service and transform the customer support experience.,"Guillaume Luccisano, the Founder & CEO, is a product builder and serial entrepreneur with over a decade of experience in Silicon Valley. The other team members have backgrounds in software engineering, growth strategy, and operations.","Yuma has served high-growth e-commerce companies across the world, including MyVariations, The Koin Club, ASRV, and Mool, achieving significant automation rates and improvements in customer service metrics."
12,AeroHub,Yes,Marketplace that links OTAs  (online travel agencies) to airlines,"AeroHub is a travel tech provider with a focus on LCC and NDC content aggregation via a unified API to improve access and efficiency.

Currently connected to 60+ LCCs, and providing over 80% coverage in Europe and Asia. Our ""TechHub"" and ""FareMarket"" products provide direct connected airline content to global travel retailers, and OTAs.

Headquartered in Singapore and with a global team, AeroHub is committed to providing high-quality solutions to our partners.",aerohubtech.com,"Direct content connectivity for OTAs and airlines with the most advanced distribution technology and exceptional services. LCCs With Direct Connect Airlines Integrated M+ Annual Passengers M+ Daily Flight Searches 2secs Average response time 0.00 Booking Success Rate 24/7 Post-ticketing Service Staff Technical Staff OTAS & AIRLINES bottomline OTAs Direct connection to airline content, and web parity content. Our 'Best Fare' approach guarantees reliable and competitive rates. Dedicated support for refunds and post-service requests. Fast search response times (<1 second) and exceptional fare accuracy (99.7% bookability). Airlines Diversify your distribution channels, and connect to online consumers High-quality support for family fares and add-on services. Ensure smooth post-sale services, bookings management and refunds. Quality and efficiency guaranteed by a dedicated technical team with 10+ years experience Why Connect With AeroHub？ Access to an innovative distribution platform that simplifies the booking process for OTAs. Easily search, book, manage, and analyze your bookings. Enhance and diversify your supply chain with direct connections to LCCs and NDC airlines Discover AeroHub Competitive Fare Solutions Our dedicated team continually optimizes and automates the most competitive fares, providing OTA partners with a significant advantage in the competitive market. Exceptional Customer Support Experience world-class, 24/7 customer support, ensuring prompt and efficient handling of refunds and booking changes. Exclusive Airline Content Access unique content directly from airlines, without reliance on third-party suppliers. Receive comprehensive support for fare families and ancillary content. Reliable API Performance Benefit from rapid search response times (<1 second) and exceptional fare accuracy (>99.7%), enhancing your OTA's capabilities without Look to Book limitations. TRUSTED BY bottomline Delivering success and satisfaction to a global network of diverse partners worldwide. sales@aerohubtech.com SOLUTIONS Product Content",Online Travel Agencies (OTAs) and airlines,"Providing direct content connectivity for OTAs and airlines with advanced distribution technology and exceptional services to enhance booking processes, competitive rates, and customer satisfaction.","Kelvin Fu, CEO, with experience in travel technology and computer science; Ming Foong, CCO, with over 20 years in eCommerce and technology industries; Ivan Ordas Villamandos, Head of Partnerships Europe, with 12 years in the airline industry; Emily Zhu, Director of Partner Success, with 10 years in airline retailing; Cleo Brow'n, Director of Airline Partnership, with expertise in Business Development, Strategy, and Management; David Sun, Director of Airline Partnership, with 8 years of experience in travel industry.",Not enough info
13,Fogo Fungi,Yes,Sustainability startup. No previous funding history. I have reached out,"Fogo Fungi is a Singapore agrifoodtech startup, dedicated to harnessing the untapped potential of fungi to valorise food waste into premium gourmet mushrooms.

Fungi represent one of nature's most valuable, yet underutilized resources, offering a multitude of benefits to both consumers and our ecosystem. We firmly believe that capitalizing on fungi’s immense properties is key to advancing our sustainability goals.

Our mission is clear: to cultivate the finest mushrooms possible for the people and our planet. We achieve this by closing the loop in our broken food system, contributing to a circular economy, and addressing the colossal challenges of food waste and security head-on.",fogofungi.com,Fresh gourmet mushrooms grown sustainably in Singapore urban mushroom farms,Consumers interested in sustainable and high-quality gourmet mushrooms,"Addressing the lack of quality, freshness, and variety of mushrooms available in the region","Ryan Ong, Jonathan Chen, and Felix-Constantin Dorner. Ryan has experience in SMEs and startups in hospitality and food waste valorisation. Jonathan is an SAF Air Warfare Officer and horticulturist. Felix has a background in hotel and logistics sectors.",Not enough info
14,Heymax,Yes,This is a startup. I spoke to them at some event in Nov,"heymax.ai doubles your favorite miles! heymax helps you find the best credit card to use anywhere you shop, and double dip to earn your preferred loyalty points and miles at 20+ airlines and hotels by shopping with our partners like Shopee, Lazada, Amazon, Apple, Trip.com, Singapore Airlines and so many more! 

For businesses, heymax.ai is a simple and efficient way to convert high spending customers who likes rewards in their own terms.",heymax.ai,"Max Card - A credit card optimization tool that helps users maximize rewards by identifying the best card to use for each purchase, earning extra miles on top of credit card rewards, and offering instant Max Miles on voucher purchases.",Consumers who use credit cards for purchases and want to maximize their rewards and miles.,"The main problem statement is to help users earn more rewards by identifying the right merchant for the card they want to use, ultimately maximizing their rewards and miles.","Joe Lu - CEO, former Engineering Manager at Meta with 9 years of engineering experience in the US and Singapore. Ke Wang, PhD - AI Eng Lead, former Senior Software Engineer at Meta and Indeed.com with 8 years of tech leading experience. Sean Dy - Data Lead, former Data Scientist and Engineer at Meta with 8 years in analytics and data science. Jialu Zhong - Product Eng Lead, former Senior Software Engineer at Meta, Uber, and Goldman Sachs with 8 years of tech leading experience.","Shopee, NTUC Fairprice, AIA Insurance, Lazada, Singapore Airlines, McDonalds, Apple, Amazon, Uniqlo, Klook, and many more."
15,Propellus.co,Yes,This is a tech startup but the news sources don't seem to be right,"Welcome To Propellus, Your AI-Powered Visa Assistant!

Propellus is a Singapore-based travel tech startup that is revolutionizing visa applications and travel services for weak passport holders.",propellus.co,"Propellus offers advanced solutions to help SME travel agents excel in providing tailored visa services, enhancing customer experience and operational efficiency.",The target audience for Propellus is small and medium-sized enterprise (SME) travel agents looking to prioritize personalized customer service and streamline visa processing.,Propellus aims to transform the visa service experience for SME travel agents by providing advanced solutions to enhance customer satisfaction and operational efficiency.,Not enough info,Not enough info
16,Query Vary (YC W22),Yes,YC-backed company,"Query Vary helps evaluate LLM output at scale. Our software is designed to empower developers with tools for designing, testing, and refining prompts in a systematic way, ensuring reliability, reducing latency, and optimizing costs.",queryvary.com,"Query Vary provides companies and developers with tools to design, test, and refine prompts for large language models (LLMs) in a systematic way, ensuring reliability, reducing latency, and optimizing costs.","The target audience for Query Vary includes companies and developers working with large language models (LLMs) who need to design, test, and refine prompts efficiently and effectively.","The main problem statement of Query Vary is to help companies and developers save time, increase productivity, reduce the chance of application abuse, and improve the quality of LLM application outputs through structured testing infrastructure and powerful features.","Dirk Jan van Veen is the co-founder and CEO of Query Vary, with a background in helping companies adopt AI workflows. Walter Pintor, the CTO and co-founder, has experience in warehouse optimization software and automating complex systems. Both founders bring relevant experience to the business they are running now.",Not enough info
17,Scout - AI Powered Talent Hunter,Yes,Tech startup but probably very early stage,"Scout is a talent hunter powered by AI. Give it a job description or simply tell Scout who or what skills you’re looking for, and it’ll find you top talent, engage them automatically using your email and LinkedIn, and convert them into active candidates. The best part is that it plugs into a recruiter’s existing toolset and workflow. 

Key benefits:

- Reduces cost of hiring by over 50%
- Double recruiter productivity
- Integrate with your ATS

Trying to picture what Scout can do for you? Think job board + HubSpot + Lusha all rolled into ONE platform specifically to help you hire the best talent.",getscout.ai,"Scout is a talent hunter powered by AI. It is a one stop sourcing tool to find top talent and convert them into active candidates. With Scout, users can easily 10X productivity and 3X speed to hire. It uses AI algorithms to source, contact, engage, and hire the best available talent.",Recruiters and HR professionals looking to streamline their talent sourcing process and improve efficiency in hiring.,The main problem statement addressed by Scout is the time-consuming and manual process of sourcing and engaging with potential candidates. Scout aims to automate and streamline this process using AI technology to save time and improve the quality of hires.,Not enough info,"Safinaz, Jesper, EJ, Rob Bryson, Abhi"
18,Siftee,Yes,Tech startup because backed by Antler,"https://siftee.io/

Siftee is a data and research marketplace where you can search, validate and download specific insights from over 50,000 free and paid data sources, down to the metadata level.

Founded by ex-McKinsey and Salesforce executives, their vision is to help consultants and analysts become more productive and improve the quality of their insights.

Siftee is still in an incubation stage and focusing on developing and refining the product and go-to-market proposition",siftee.io,Siftee offers a data search platform that helps analysts find external data more easily. The platform provides a solution for finding data faster and more efficiently.,The target audience for Siftee is enterprises and analysts who require external data for their research and analysis.,The main problem statement of Siftee is the difficulty analysts face in finding external data quickly and efficiently to support their research and analysis.,Not enough info,Not enough info
19,Truely.com,Yes,"This is an eSIM provider that gives instant access to local networks across 200 countries. Tech startup. However, sector classification might be off. We would classify travel tech under consumer. Mobility is more for EVs companies etc",Stealth-Mode Travel Startup ✈️,truely.com,"Truely offers innovative eSIM technology that provides instant access to local data plans in over 200+ countries at competitive rates, redefining global connectivity for travelers.",Truely's target audience is savvy travelers who value staying connected wherever they go and seek to avoid costly roaming fees and unreliable Wi-Fi connections.,Truely aims to solve the problem of expensive roaming charges and unreliable Wi-Fi connections by offering seamless global connectivity through their eSIM technology.,Not enough info,Not enough info
20,AQUILA.is,Yes,IoT tech startup. Founder was previously from Aspire,"AQUILA.is an IoT-powered ESG platform providing real-time data that helps monitor, report, and verify Sustainable Finance Products.",aquila.is,IoT sensors-powered ESG Data Platform for Sustainable Finance,"Financial Institutions, Renewable Energy developers, Real Estate developers, Industrial parks, Private equity, Insurers","AQUILA.is provides accurate, automated, and auditable ESG data sourced from sensors, satellites, and IoT devices to enable real-time monitoring and decision-making in sustainable finance.",Not enough info,"Impact Investor - Vietnam, CFO, Energy Company - Singapore, PE Investor - Singapore"
21,Aucto,Yes,"This is a very early stage startup. Linkedin is misleading. It is not a payment solution for live-streamers but a collectibles marketplace. Hence, classification should be ""consumer"" instead of ""fintech""",Singapore-based payments solution for livestreamers,aucto.io,Aucto is a specialized marketplace exclusively for collectors to find all types of collectibles. Aucto verifies all its sellers and insures deliveries to ensure that collectors get exactly what they order.,Collectors,Collecting can be hard and trusting sellers can be a challenge. Aucto aims to make collecting easy by verifying every seller on their platform.,Not enough info,Not enough info
22,Beatonic,Yes,"Music beat marketplace where you can buy and sell music
However, classification is wrong. This is a Dubai startup and it should be classified as consumer (IMO)","Your one-stop marketplace connecting musicians with top-tier music professionals for hire, revolutionizing music production.",beatonic.io,"Beatonic offers a platform for musicians to buy and sell beats, manage publishing, and collaborate with others. Users can customize their tracks, earn 100% copyright, and promote their music to a wide audience.","Musicians, beat makers, producers, and creators looking to buy or sell beats, manage their publishing, and collaborate with others in the music industry.","Beatonic aims to empower musicians by providing a seamless platform for buying and selling beats, managing publishing, and collaborating with others. The platform offers transparency, fair revenue sharing, and a promotion tool to help artists showcase their music to a wider audience.",Not enough info,Not enough info
23,Bros Before Woes,Yes,"This is a very early stage (pre-product) based on screenshots, this seems to be a mental health app of sorts targeted to men. Probably will talk to them but don't think it would be that interesting","Making Men's Mental Health More Manageable.
(MMMHM for short)",bros_before_woes.vertex_invalid,,,,,
24,CashWise,Yes,Startup. Isaac reached out to them previously,"At CashWise, our vision is to transform business financial operations from an obstacle into a catalyst.

CashWise automates liquidity and solvency management for businesses.  Our platform orchestrates all the necessary movement of funds and activities to save time, reduce errors and maximize returns while ensuring the business remains financially stable at all times. At launch, the solution identifies idle cash, determines the length of time it will be idle, then deploys into the most ideal income assets as defined by the client’s corporate governance.",cashwise.asia,"CashWise provides opportunities for mentorship, funding, talent, and infrastructure for startups and founders. It also offers support for capability enhancements for incubators and accelerators, and encourages strategic investments into the startup ecosystem for investors.","Startups, investors, incubators, accelerators, and anyone keen on exploring open innovation in Singapore.","CashWise aims to help startups, investors, and incubators/accelerators discover opportunities, enhance capabilities, and encourage strategic investments in the startup ecosystem in Singapore.",Not enough info,Not enough info
25,Clics,Yes,"No website / product yet. However, based on description, seems like just another startup trying to build a chat-bot agent wrappper over GenAi models","Welcome to Clics, where we specialize in AI-powered chatbots that supercharge customer service. Our chatbots make interactions effortless, handling questions, appointments, and creating vibrant customer communities. With Clics, businesses redefine customer connections, creating smoother experiences that foster lasting relationships. Join us in shaping the future of customer service through innovation and AI at Clics.

Email: info@clicss.co",clicss.co,"Clics offers AI-powered chatbots that engage in natural language conversations, schedule appointments, and provide instant replies. They are trained on the specific needs of each business and can be integrated into multiple platforms.",Clics' target audience includes businesses of all sizes looking to optimize sales conversions and fully automate customer conversations.,"Clics aims to provide businesses with a virtual sales sidekick that can engage customers in personalized conversations, capture quality leads, and provide lightning-quick responses to improve customer engagement and brand loyalty.",Not enough info,"Clics has served brands such as Franulovic, Teller, and TYTO, receiving positive feedback for their work in reducing stress, providing valuable feedback, and challenging clients to think about their decisions from usability and design standpoints."
26,Cylo.ai,Yes,Early-stage. No website but sounds like a startup,"Cylo is a specialist cyber insurance agency backed by IAG and supported by best-in-class cyber security partners. Cylo’s dynamic blend of innovative technology, customised insurance and proactive support services can help reduce the chances of your customers experiencing a cyber attack as well as the damage caused by it. Our cyber insurance platform is built with the customer in mind. With a focus on delivering a better portfolio return on investment, we aim to make the quote and bind process as efficient and intuitive as possible.   

Specialties: Insurance| Cyber Insurance | Cyber Risk | InsurTech| Cyber |",,,,,,
27,Eraah,Yes,"Probably a startup. Interesting value prop but unfortunately, founder is just a frsh grad","Eraah is on mission to bring transparency by making impact visible of every cent donated. 

Currently, donors do not trust NGOs because of a lack of transparency of how each cent is being utilised and they cannot see the impact of their donation. Through our platform, we enable each user to visualise the impact of their contribution and transparently showcase the manner of usage of funds by each NGO.

We exist to re-ignite the spirit of giving back!",eraah.org,"Eraah provides a platform for NGOs to showcase their financial breakdown and impact created, increasing transparency and trust among donors.","NGOs, donors, and supporters who are looking to make a positive impact and want to ensure their donations are being utilized effectively.","The main problem Eraah addresses is the lack of trust in NGOs, the inability for donors to see the direct impact of their donations, and the perpetual shortage of funds faced by NGOs.",Not enough info,Not enough info
28,Finna,Yes,Antler's new unannounced batch,"Finna simplifies business management for independent workers with an integrated platform catering to freelancers, content creators, agents, and e-commerce sellers. Powered by AI, Finna empowers solopreneurs to acquire new clients 10x faster and run their independent businesses with maximum efficiency.",finna.club,"Finna automates and professionalizes processes for solopreneurs, managing brand partnerships, generating campaign reports, and tracking payments in one place. Features include CRM tailored to workflow, one-click proposal generation, automated reports, invoices tailored to business, payment management dashboard, and operations toolkit.",Solopreneurs,"The main problem statement is to simplify and streamline the workflow for solopreneurs, allowing them to focus on growing their channel and creating content, rather than getting bogged down in administrative tasks.",Not enough info,Not enough info
29,Fluid,Yes,Startup. Our team recently reached out to them,"Did you know that over 70% of B2B trades are conducted on credit terms? Yet, many suppliers struggle to support this, leading to lost business opportunities. 

Introducing Fluid—a GAME CHANGER. With just a tap, Fluid instantly finances your B2B purchases within 10 seconds. It seamlessly integrates into marketplaces and supplier websites/apps, offering payment flexibility that empowers B2B buyers to secure their purchases on credit terms or installments.

The result? Increased basket sizes and a influx of new buyers for suppliers. What sets Fluid apart? Their unmatched consumer-grade experience and the ability to facilitate high-velocity trade, making them stand out from traditional digital lenders or invoice financing companies.

Are you B2B marketplaces, procurement platforms or suppliers ready to revolutionize your B2B transactions? Reach out to hello@gofluid.io today to discover how Fluid can transform your payment processes and drive growth for your business.

We're also actively looking for superstars to scale our business - reach out to jobs@gofluid.io to learn more!",gofluid.io,"Fluid offers flexible financing for B2B purchases, allowing buyers to choose how and when to pay while providing instant payouts to sellers. They also offer real-time credit checks and automatic reconciliation for seamless transactions.","Fluid's target audience is businesses, specifically B2B buyers and sellers looking for a more efficient and flexible payment solution.","The main value proposition of Fluid is to accelerate business growth by increasing GMV, protecting working capital, saving time on payment reconciliation, and increasing buyer loyalty through a seamless payment experience.",Not enough info,"Fluid has served industry leaders like X-Inc Group, Eezee, and TreeDots, providing customized solutions for fast and secure B2B payment processing, increasing buyer basket size, and converting new buyers."
30,FlyMedia Marketing,No,,"Flymedia excels in creating captivating TikTok & Instagram content that aligns with trends together with platform expertise and data-driven analytics. With our industry experience, we are able to identify suitable influencers for your brand and craft a campaign that meets specific goals and objectives.",flymediasg.com,"Flymedia is an app engineered to match companies with TikTok influencers perfectly, providing a platform for creative collaboration and brand promotion.","The target audience includes both influencers and brands looking to collaborate on campaigns, seeking seamless experiences and exceptional quality.","Flymedia aims to solve the challenge of connecting influencers with brands that align with their content niches, fostering authentic and impactful collaborations.",Not enough info,Not enough info
31,Glorious,Yes,"Antler's new unannounced batch
",Glorious is solving the global care crisis by building care operations platform for home care and home health organizations.,beglorious.co,"Smart dashboard and workflow software for care operations teams, mobile tasking, SoPs, and engagement tools for caregivers, technology that focuses on better health outcomes and client satisfaction, care operations dashboard, all-in-one platform for better care operations","Care providers, professional caregivers, family caregivers, migrant workers in the care sector","Shortage of caregivers leading to a global care crisis, underpaid and undervalued caregivers, financial and emotional burdens on family caregivers, challenges faced by migrant workers in the care sector","Junus Eu, CEO of Glorious, leading innovation in healthcare delivery and digital technology",Not enough info
32,Grasshopper Gastronomics,Yes,Probably a foodtech startup. No website though,"Grasshopper Gastronomics is a food technology startup that innovates in the plant-based food industry with products that prioritize nutrition, affordability, and natural ingredients. We leverage advanced biotechnology to produce plant-based alternatives to meat, desserts, and beverages that are cruelty-free and eco-friendly.",grasshopper.sg,,,,,
33,Hangr,Yes,Startup ran by two students in NUS. Some sort of app where you can analyse how you look in different outfits. Feels like more of a feature than a product,"Hangr is on a mission to revolutionize the fashion e-commerce landscape through the power of cutting-edge technology. Our journey began with a vision to bridge the gap between fashion and technology, and today, we are excited to disrupt the industry.",hangrsolutions.com,AI-powered digital wardrobe mobile app,fashion e-commerce businesses,Revolutionize fashion e-commerce with cutting-edge AI technology,Lucas Ivan Teng - Biomedical engineering undergraduate with a passion for innovation; Shaheen Anwardeen - Mechanical engineering undergraduate with a flair for entrepreneurship,Not enough info
34,Helios,Yes,Startup. I have reached out to them already,"Helios aims to put solar panels on the roofs of every home in Southeast Asia.

We design solutions that take the friction out of the solar PV system sales and installation process. With our innovative, consumer centric approach we aim to enable mass residential solar adoption while making an impact on families' lives with savings from Day 1.",joinhelios.com,Zero. Down. Solar. No upfront costs. No hidden fees. Easy installments.,Consumers looking to switch to solar energy with no upfront costs and easy financing options.,Providing affordable and reliable solar energy systems with access to bank-cheap financing rates.,Not enough info,"Therese & Gina A., Vincent L., Ma. Victoria k."
35,Monitree,Yes,Connects content creators to brand products as well as tools to help with content creation. Early stage (1 person on LinkedIn),"Welcome to Monitree, a tool for influencers and creators to monetize their social media presence. Whether you are just starting out on your content creation journey or are an established influencer, Monitree makes it easy to turn your passion into a profitable business.

With Monitree, you can connect with brands and businesses looking to partner with influencers, track and analyze your social media performance, and manage your sponsored content all in one place.Our app provides a simple and intuitive platform for you to showcase and promote products and services to your audience, while also allowing you make money from User Engagement.",monitree.vertex_invalid,,,,,
